Estacion,lugar,n_sitio,Id,longitud,ancho ,alto,peso_hum,peso_sin_val,peso_seco,peso_seco_vis,peso_sec_val,longitu_menor_4mm,
invierno,MDQ,parche 1 ,1,9.61,4.51,3.44,0.1,0.021,0.0653,0.0068,0.0585,200,
invierno,MDQ,parche 1 ,2,10.77,4.58,3.56,0.112,0.024,0.0854,0.0089,0.0765,200,
invierno,MDQ,parche 1 ,3,10.59,5.93,4.54,0.191,0.042,0.0935,0.0097,0.0838,200,
invierno,MDQ,parche 1 ,4,11.9,6.45,4.42,0.184,0.045,0.1,0.0104,0.0896,200,
invierno,MDQ,parche 1 ,5,10.39,5.1,4.17,0.134,0.019,0.0535,0.0056,0.0479,200,
invierno,MDQ,parche 1 ,6,11.17,4.4,3.42,0.154,0.01,0.0683,0.0071,0.0612,200,
invierno,MDQ,parche 1 ,7,11.45,5.27,4.11,0.156,0.013,0.05,0.0052,0.0448,200,
invierno,MDQ,parche 1 ,8,10.7,5.25,4.75,0.169,0.014,0.0354,0.0037,0.0317,200,
invierno,MDQ,parche 1 ,9,10.36,4.89,3.48,0.117,0.014,0.0925,0.0096,0.0829,200,
invierno,MDQ,parche 1 ,10,10.25,5.28,3.95,0.119,0.023,0.0758,0.0079,0.0679,200,
invierno,MDQ,parche 1 ,11,10.07,5.18,3.62,0.145,0.018,0.0834,0.0087,0.0747,200,
invierno,MDQ,parche 1 ,13,9.24,4.61,3.29,0.099,0.017,0.0666,0.0069,0.0597,200,
invierno,MDQ,parche 1 ,12,10.44,4.43,3.85,0.113,0.024,0.0934,0.0097,0.0837,200,
invierno,MDQ,Parche 2,1,15.9,7.1,5.37,0.273,0.064,0.1321,0.0137,0.1184,150,
invierno,MDQ,Parche 2,2,15.6,6.76,6.72,0.344,0.045,0.1892,0.0197,0.1695,150,
invierno,MDQ,Parche 2,3,14.06,6.98,5.1,0.247,0.063,0.1243,0.0129,0.1114,150,
invierno,MDQ,Parche 2,4,16.21,7.21,5.72,0.285,0.071,0.1464,0.0152,0.1312,150,
invierno,MDQ,Parche 2,5,15.1,7.29,5.44,0.317,0.061,0.1395,0.0145,0.125,150,
invierno,MDQ,Parche 2,6,16.5,7.55,6.35,0.354,0.038,0.1829,0.019,0.1639,150,
invierno,MDQ,Parche 2,7,18.24,8.37,7.15,0.489,0.028,0.2437,0.0253,0.2184,150,
invierno,MDQ,Parche 2,8,12.38,5.6,4.15,0.153,0.031,0.0793,0.0082,0.0711,150,
invierno,MDQ,Parche 2,9,17.11,7.93,6.06,0.407,0.078,0.2026,0.0211,0.1815,150,
invierno,MDQ,Parche 2,10,16.92,7.9,5.56,0.512,0.09,0.2577,0.0268,0.2309,150,
invierno,MDQ,Parche 2,11,17.12,7.88,6.09,0.405,0.121,0.2093,0.0218,0.1875,150,
invierno,MDQ,Parche 2,12,17.38,7.75,6.47,0.461,0.01,0.2379,0.0247,0.2132,150,
invierno,MDQ,Parche 2,13,16.25,8.2,5.62,0.365,0.09,0.1819,0.0189,0.163,150,
invierno,MDQ,Parche 2,14,17.59,7.94,6.19,0.34,0.041,0.2333,0.0243,0.209,150,
